id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante
2574,gptools: Scalable Gaussian Process Inference with Stan,exclude,E1,media,"Paquete de software para inferencia de procesos Gaussianos en general; FDA mencionado solo como una aplicacion generica, sin discusion de eleccion de base.",si
2605,Impulse data models for the inverse problem of electrocardiography,exclude,E4,media,Problema inverso de electrocardiografía vía red neuronal + funciones de base gaussianas como herramienta de descomposición de señal; no es metodología FDA ni discute la base.,si
2618,Functional data analysis: An application to COVID-19 data in the United States,exclude,E4,media,"Aplicación pura de métodos FDA estándar (FPCA, correlación canónica, clustering, FTS) a datos COVID-19 de EE.UU.; sin novedad metodológica ni discusión de base. Dominio epidemiológico.",si
2620,Bayesian functional data analysis in astronomy,exclude,E4,media,"Artículo ""Perspective"" en MDPI Phys. Sci. Forum sobre FDA bayesiano en astronomía; dominio ajeno, pieza corta de opinión/proceedings.",si
2624,A Visual Analytics Approach for Hardware System Monitoring with Streaming Functional Data Analysis,exclude,E1,media,"Enfoque de analítica visual para monitoreo de hardware con FDA por streaming; la contribución es el sistema de visualización (IEEE TVCG), FDA es el motor analítico, no discute la base.",si
2657,Whole-Volume Clustering of Time Series Data from Zebrafish Brain Calcium Images via Mixture Modeling,exclude,E4,media,Clustering de imagenes de calcio del cerebro de pez cebra via modelado de mezclas; metodologia FDA basada en mezclas gaussianas aplicada a neuroimagen sin discusion de base.,si
2664,Functional modelling of microarray time series with covariate curves,exclude,E4,media,Modelado funcional de series de microarrays con curvas covariables; especializacion de modelo mixto funcional para dominio de expresion genica sin discusion de base.,si
2681,Gaussian Differentially Private Human Faces Under a Face Radial Curve Representation,exclude,E1,media,"Privacidad diferencial gaussiana para caras humanas 3D; usa representacion en curvas funcionales como vehiculo para el mecanismo GDP, sin discutir eleccion/calidad de base.",si
2686,Trend extraction in functional data of R and T waves amplitudes of exercise electrocardiogram,exclude,E4,media,Extraccion de tendencia en datos funcionales de amplitudes de ondas R y T del electrocardiograma de esfuerzo; herramientas FDA estandar aplicadas a pregunta de cardiologia sin discusion de base.,si
2693,Shape invariant model approach for functional data analysis in uncertainty and sensitivity studies,exclude,E4,media,"Modelo de forma invariante para FDA en estudios de incertidumbre y sensibilidad; metamodelado de simuladores dinamicos, caso de almacenamiento de CO2, Kriging. Aplicacion a ingenieria/petroleo.",si
2704,A new look at weather-related health impacts through functional regression,exclude,E4,media,"Aplicacion de FDA a mortalidad cardiovascular por temperatura en Montreal; contribucion centrada en epidemiologia, no en la base.",si
2705,Detecting British Columbia Coastal Rainfall Patterns by Clustering Gaussian Processes,exclude,E4,media,"FDA + clustering de procesos gaussianos aplicado a lluvia costera en BC; dominio meteorologico, sin discusion de base.",si
2708,Inferring Brain Signals Synchronicity from a Sample of EEG Readings,exclude,E4,media,"FDA + clustering aplicado a sincronia de senales EEG; dominio neurociencia, FDA usada como herramienta.",si
2716,Minimax Optimal Kernel Operator Learning via Multilevel Training,exclude,I1,media,"Aprendizaje de operadores Hilbert-Schmidt entre RKHS Sobolev, teoria ML; FDA solo mencionada como uno de varios dominios de aplicacion.",si
2729,Functional Mean Flow in Hilbert Space,exclude,I1,alta,"Modelo generativo one-step en espacio de Hilbert (Functional Flow Matching); genera imagenes/PDEs, no representacion FDA ni FPCA.",no
2733,An ensemble of convolution-based methods for fault detection using vibration signals,exclude,I1,alta,"Clasificacion de series de tiempo multivariadas (ROCKET, CNN) para deteccion de fallos por vibracion; FDA solo mencionada de pasada.",no
2736,Noise-Robust Phase Connectivity Estimation via Bayesian Circular Functional Models,exclude,E4,media,Modelo bayesiano de datos funcionales circulares para estimar conectividad de fase (PLV) en EEG; dominio neurociencia.,si
2739,A Bayesian Nonparametric Approach for Estimating Individualized Treatment-Response Curves,exclude,E1,media,Metodo bayesiano no parametrico para curvas de respuesta a tratamiento individualizadas; FDA como herramienta para inferencia causal.,si
2740,Multioutput Gaussian Processes with Functional Data: A Study on Coastal Flood Hazard Assessment,exclude,E4,media,Procesos gaussianos multi-salida con entradas funcionales para evaluacion de peligro de inundacion costera; dominio hidrologia.,si
2744,Behavior Score Prediction in Resting-State Functional MRI by Deep State Space Modeling,exclude,I1,alta,"Deep state space sobre series BOLD de fMRI en reposo para predecir scores de Alzheimer; 'functional' = fMRI, no FDA.",no
2754,Neural Optimal Transport in Hilbert Spaces: Characterizing Spurious Solutions and Gaussian Smoothing,exclude,I1,media,"Transporte optimo neuronal en espacios de Hilbert; teoria ML sobre soluciones espurias y suavizado gaussiano, no representacion FDA.",si
2756,Detecting practically significant dependencies in metric spaces via distance correlations,exclude,I1,media,"Test pivotal para correlacion de distancias sobre un umbral en espacios metricos; datos funcionales solo uno de varios settings, no base/FPCA.",si
2757,Functional instrumental variable regression with an application to estimating the impact of immigrat,include,none,baja,Regresion de variable instrumental funcional aplicada a impacto de inmigracion en salarios; econometria funcional (PR5). Extracto no es texto completo real (pagina Cambridge Core).,si
