id,title_short,decision,reason_code,confidence,rationale,extracto_truncado_relevante,revisado_manualmente,color_numbers
59,Bayesian additive adaptive basis tensor product models for modeling high dimensional surfaces: an ap,include,none,alta,"Modelo de expansion en bases tensoriales aprendidas de los datos, metodologia central sobre bases",no,no,
62,Learning rates for partially linear functional models with high dimensional scalar covariates,include,none,alta,"Contrasta FPCA vs representacion automatica de bases via RKHS, discusion explicita de bases",no,no,
72,Fast Bayesian basis selection for functional data representation with correlated errors,include,none,alta,"Seleccion bayesiana de funciones de base para suavizado, comparado contra splines de regresion/suavizado",no,no,
74,Bayesian analysis of longitudinal and multidimensional functional data,include,none,media,"Titulo/contexto (Biostatistics, FD multidimensional) sugiere metodologia FDA relevante; resumen cortado por formato de pagina PMC",si,no,
82,Statistical inference in functional quadratic expectile regression model,include,none,alta,Coeficientes funcionales aproximados por base de componentes principales funcionales,no,no,
83,Landmark-Warped Emulators for Models with Misaligned Functional Response,include,none,media,"Emuladores para datos funcionales desalineados; usa splines de regresion adaptativa bayesiana como parte del marco, discusion de base parcial",si,no,
86,Recovering the underlying trajectory from sparse and irregular longitudinal data,include,none,alta,Metodo SOAP estima funciones de base empirica optimas como alternativa a FPCA/PACE,no,no,
88,Robust estimation in canonical correlation analysis for multivariate functional data,include,none,alta,"Analisis basado explicitamente en representacion en funciones de base, bases no ortogonales",no,no,
89,Modeling Experimental Designs Including Longitudinal Data and a Functional Covariate,include,none,alta,Compara dos enfoques de suavizado (funciones de base y FPCA) en diseno experimental longitudinal,no,no,
101,Stochastic modeling of Random Access Memories reset transitions,include,none,alta,"FPCA via expansion de Karhunen-Loeve aplicado a memorias resistivas, mismo cluster tematico que ancla del conjunto oro",no,no,
106,Quantile Regression for Longitudinal Functional Data with Application to Feed Intake of Lactating So,include,none,alta,"Representaciones spline de funcion de coeficiente variable en el tiempo, regresion cuantilica longitudinal",no,no,
111,Sparse logistic regression on functional data*,include,none,alta,Expansion B-spline con doble penalizacion para regresion logistica funcional dispersa,no,no,
112,A fast epigraph and hypograph-based approach for clustering functional data,include,none,media,"Clustering via indices epigrafe/hipografe, no usa expansion en bases ni FPCA explicitamente - I1 discutible aunque es FDA genuino",no,no,
114,A penalized spline estimator for functional linear regression with functional response,include,none,alta,Selecciona conjunto de funciones de base para reconstruccion y regresion funcion-en-funcion,no,no,
126,Basis expansions for functional snippets,include,none,alta,"Representacion en bases de la funcion de covarianza para snippets funcionales, titulo explicito",no,no,
127,Local Clustering for Functional Data,include,none,alta,Construido sobre tecnica de expansion en bases con forma de penalizacion novedosa,no,no,
128,Gaussian graphical modeling for spectrometric data analysis,include,none,alta,"Expansion en base B-spline para modelar espectros, aplicacion quimica con discusion metodologica sustantiva (excepcion E4)",no,no,
130,A Fourier representation of kernel Stein discrepancy with application to Goodness-of-Fit tests for m,include,none,alta,Representacion de Fourier como herramienta central para datos funcionales en espacios de Hilbert,no,no,
131,High-resolution signal recovery via generalized sampling and functional principal component analysis,include,none,alta,Combina FPCA con representaciones dispersas de componentes principales funcionales,no,no,
132,BASS: An R package for fitting and performing sensitivity analysis of bayesian adaptive spline surfa,include,none,alta,"Paquete R para superficies spline bayesianas adaptativas, splines como base central del metodo",no,no,
135,Feature extraction for functional time series: Theory and application to NIR spectroscopy data,include,none,alta,"FPCA-BTW combina FPCA con thresholding de coeficientes wavelet, directamente relevante a PR4",no,no,
136,Functional group bridge for simultaneous regression and support estimation,include,none,alta,"B-splines para transformar dispersion de funciones a vector disperso, aplicacion neurociencia con metodologia sustantiva (excepcion E4)",no,no,
139,Multi-dimensional functional principal component analysis,include,none,alta,Extension de FPCA a dominios multidimensionales con transformada rapida de Fourier en suavizado,no,no,
144,Roughness regularization for functional data analysis with free knots spline estimation,include,none,alta,"Estimacion con splines de nodos libres y regularizacion de rugosidad, nucleo metodologico de PR4",no,no,
148,Bayesian wavelet-packet historical functional linear models,include,none,alta,"Compara representacion wavelet-packet vs spline-based para modelos historicos funcionales, relevante a PR4",no,no,
150,FILTRATED COMMON FUNCTIONAL PRINCIPAL COMPONENT ANALYSIS OF MULTIGROUP FUNCTIONAL DATA,include,none,alta,fPCA filtrada estructurada en forma de bosque para datos funcionales multigrupo,no,no,
156,Compositional splines for bivariate density data analysis,include,none,alta,"Nueva base spline para densidades bivariadas transformadas, construccion explicita de base",no,no,
162,Spline estimation of functional principal components via manifold conjugate gradient algorithm,include,none,alta,"Aproximacion B-spline de componentes principales funcionales, algoritmo de gradiente conjugado",no,no,
168,A comparison of parameter estimation in function-on-function regression,include,none,alta,"Comparacion explicita de bases y metodo de estimacion en regresion funcion-en-funcion, tipo comparativo directo (PR2/PR4)",no,no,
169,Quadratic regression for functional response models,include,none,alta,"Predictor y funcion de coeficiente expresados por expansion en bases, regresion funcional cuadratica",no,no,
174,Functional principal component analysis for incomplete space-time data,include,none,alta,"FPCA con discretizacion B-spline en tiempo y elementos finitos en espacio, datos espacio-temporales incompletos",no,no,
179,Estimation in functional partially linear spatial autoregressive model,include,none,alta,FPCA y aproximacion por funciones de base para modelo espacial autorregresivo funcional parcialmente lineal,no,no,
183,Smoothed least absolute deviation estimation in functional linear model,include,none,alta,Predictor y funcion de pendiente aproximados via expansion en base de componentes principales funcionales,no,no,
184,Bayesian flexible beta regression model with functional covariate,include,none,alta,"Expansion estandar en bases para modelo de regresion beta funcional bayesiano, aplicacion espectrometrica con metodologia sustantiva",no,no,
189,BFDA: A MATLAB toolbox for bayesian functional data analysis,include,none,alta,Funciones de base B-spline cubicas para aproximar inferencia bayesiana en datos funcionales de alta dimension,no,no,
191,Empirically Driven Orthonormal Bases for Functional Data Analysis,include,none,alta,"Aborda directamente la seleccion de base ortonormal (Fourier/wavelets/splines) de forma data-driven; altamente relevante a PR1, posible antecedente directo",no,no,
196,Partial separability and functional graphical models for multivariate Gaussian processes,include,none,alta,"Expansion en bases truncadas para modelos graficos gaussianos funcionales, aplicacion neurociencia con metodologia sustantiva (excepcion E4)",no,no,
203,Band depth based initialization of K-means for functional data clustering,include,none,media,"Clustering funcional (band depth) que ajusta B-splines a las observaciones; metodologia FDA, discute naturaleza funcional vs multivariada.",no,no,
205,Bayesian adaptive selection of basis functions for functional data representation,include,none,alta,Seleccion bayesiana adaptativa de funciones base para representacion de datos funcionales; PR1/PR3 directo.,no,no,
207,BAYESIAN ADAPTIVE AND INTERPRETABLE FUNCTIONAL REGRESSION FOR EXPOSURE PROFILES,include,none,alta,Regresion funcional bayesiana con expansion B-spline y priors de shrinkage dinamico; contribucion metodologica sobre base y regularizacion.,no,no,
211,Translation-invariant functional clustering on COVID-19 deaths adjusted on population risk factors,include,none,media,"Clustering funcional invariante a traslacion con descomposicion wavelet; wavelets centrales al metodo, COVID ilustrativo.",no,no,
217,logitFD: an R package for functional principal component logit regression,include,none,alta,Paquete R para regresion logit por componentes principales funcionales; metodos de expansion en bases y FPCA.,no,no,
223,Functional Modelling of Telecommunications Data∗,include,none,media,Modelado funcional de datos de telecom con suavizado B-spline explicito y autorregresion funcional; discute ventajas de enfoques.,si,no,
235,Nested Hierarchical Functional Data Modeling and Inference for the Analysis of Functional Plant Phen,include,none,alta,"Modelo jerarquico funcional con splines penalizados de producto tensorial, FPCA multinivel, seleccion de numero de componentes via cAIC.",no,no,
239,Splinets – Orthogonal Splines for Functional Data Analysis,include,none,alta,"Splines ortogonales (splinets) para FDA; representacion en bases ortonormales, FPCA, reduccion de dimension. PR1 directo.",no,no,
240,Basis expansion approaches for functional analysis of variance with repeated measures,include,none,alta,Expansion en bases explicita para FANOVA de medidas repetidas; PR1/PR2. Biomecanica ilustrativa.,no,no,
244,Integer-valued functional data analysis for measles forecasting,include,none,alta,FDA de valores enteros para pronostico de sarampion; expansion en bases desconocida aprendida de los datos con coeficientes dinamicos.,no,no,
262,Function-on-function regression for the identification of epigenetic regions exhibiting windows of s,include,none,media,"Regresion function-on-function con wavelets para ventanas de susceptibilidad epigenetica; metodo con base wavelet, dominio ilustrativo.",si,no,
263,Distribution-free uncertainty quantification for daily treasury yield curves with functional princip,include,none,alta,"UQ distribution-free para curvas de rendimiento del tesoro; suavizado B-spline, FPCA-VAR, benchmarks vs DNS. PR4/PR5.",no,no,
266,Homogeneity problem for basis expansion of functional data with applications to resistive memories,include,none,alta,"Item #9a del conjunto oro: expansion en bases (P-splines, Karhunen-Loeve) y FPCA para test de homogeneidad funcional. PR1.",no,no,
270,Flexible functional data smoothing and optimization using beta spline,include,none,alta,"Suavizado de datos funcionales con beta-spline; eleccion de base crucial, roughness penalty + GCV. PR1/PR3.",no,no,
272,Adaptive smoothing spline estimator for the function-on-function linear regression model,include,none,alta,Estimador smoothing spline adaptativo para regresion function-on-function con penalizaciones espacialmente adaptativas. PR3.,no,no,
279,Statistical Learning for Functional Data,include,none,alta,"Revision de aprendizaje estadistico para datos funcionales; cubre FPCA, expansiones en bases, alternativas de deep learning.",no,no,
280,A FUNCTIONAL-DATA APPROACH TO THE ARGO DATA,include,none,media,Kriging funcional espacio-temporal para datos Argo con smoothing splines; contribucion metodologica pese a dominio oceanografico.,si,no,
281,Exploring Functional Structure and Variation of Italian Carbon Emissions,include,none,media,"Estructura funcional de emisiones de carbono italianas con base de Fourier y FPCA; aplicacion al mercado electrico, metodologia estandar.",si,no,
283,A Frequency-Domain Approach for Integrating Multiple Functional Time Series,include,none,alta,Marco de dominio de frecuencia para series temporales funcionales multiples via expansion Karhunen-Loeve dinamica marginal. PR4.,no,no,
288,Spline-based methods for functional data on multivariate domains,include,none,alta,Metodos spline para FD en dominios multivariados; bases spline data-driven superan la eleccion rigida predefinida. PR1/PR2 directo.,no,no,
294,Bootstrap based uncertainty bands for prediction in functional kriging,include,none,media,Bandas de incertidumbre bootstrap para kriging funcional con B-splines; metodologia para prediccion espacial funcional.,si,no,
296,Functional additive quantile regression,include,none,alta,"Regresion cuantilica aditiva funcional; scores de PC aproximados por B-splines, seleccion de componentes con SCAD. PR2/PR3.",no,no,
298,Functional Parallel Factor Analysis for Functions of One- and Two-dimensional Arguments,include,none,alta,Analisis paralelo de factores funcional que combina PARAFAC con expansion en bases (elementos finitos por partes). PR1.,no,no,
299,Wavelet thresholding on independent subspace factorizations of spatially indexed wide functional dat,include,none,media,"Umbralizacion wavelet (Daubechies, MODWT) sobre factorizaciones de subespacio; criterios de seleccion de coeficientes wavelet. PR4.",no,no,
304,Unsupervised curve clustering using wavelets,include,none,alta,Clustering de curvas con wavelets; compara explicitamente Fourier/polinomios/splines vs wavelets para curvas inhomogeneas. PR1/PR4.,no,no,
314,Bayesian multi-group functional factor models with parameter-expanded cumulative shrinkage priors,include,none,alta,"Modelos de factores funcionales multigrupo bayesianos; bases B-spline comunes, prior de shrinkage acumulativo selecciona numero de factores. PR2/PR3.",no,no,
319,Functional PCA With Covariate-Dependent Mean and Covariance Structure,include,none,alta,FPCA con media/covarianza dependiente de covariables (CD-FPCA); representacion en bases spline y roughness penalties. PR2.,no,no,
320,Forecasting the monthly retail sales of electricity based on the semi-functional linear model with a,include,none,alta,"Pronostico de ventas minoristas de electricidad con modelo semi-funcional lineal, errores AR, FPCA + splines. PR5/PR2.",no,no,
331,Bivariate densities in Bayes spaces: orthogonal decomposition and spline representation,include,none,alta,Descomposicion ortogonal y representacion en splines (producto tensorial) para densidades bivariadas en espacios de Bayes. PR1.,no,no,
333,A data-adaptive dimension reduction for functional data via penalized low-rank approximation,include,none,alta,"Reduccion de dimension adaptativa para FD via aproximacion de bajo rango penalizada; coeficientes de base, penalizacion L1, FPCA. PR1/PR3.",no,no,
336,Efficient representation of supply and demand curves on day-ahead electricity markets,include,none,alta,Representacion parsimoniosa de curvas de oferta/demanda en mercados electricos con aproximacion por funciones de base radial. PR5/PR1.,no,no,
337,Real-Time Interpolation Of Streaming Data,exclude,I1,alta,"Interpolacion spline cubica en tiempo real de datos en streaming; trabajo de analisis numerico/CS, no FDA estadistica de conjuntos de curvas.",no,si,verde
348,FACTOR-AUGMENTED MODEL FOR FUNCTIONAL DATA,include,none,alta,Modelo aumentado por factores para FD; aborda explicitamente la mala especificacion de bases de suavizado. PR1/PR3. Posible duplicado de id 2491/2495.,no,si,verde
352,Bayesian change point detection for functional data,include,none,alta,"Deteccion bayesiana de puntos de cambio para FD via transformada wavelet discreta; PR4 (wavelets, no estacionariedad).",no,no,
358,"Generalization, combination and extension of functional clustering algorithms: The R package funcy",include,none,alta,"Generalizacion de algoritmos de clustering funcional (paquete funcy); proyeccion sobre bases, modelos limitados a bases especificas. PR1/PR2.",no,no,
360,Clustering of longitudinal curves via a penalized method and EM algorithm,include,none,alta,"Clustering de curvas longitudinales con metodo penalizado y EM; regresion B-spline, FPCA, penalizaciones, seleccion de numero de grupos.",no,no,
364,A note on Herglotz's theorem for time series on function spaces,include,none,media,Teorema de Herglotz para series temporales en espacios funcionales; teoria de analisis en dominio de frecuencia y reduccion finito-dimensional optima. PR1/PR4.,no,no,
370,Functional time series forecasting: a systematic review,include,none,alta,"Revision sistematica de pronostico de series temporales funcionales; cubre FAR, enfoques no parametricos, smoothing splines. PR4/PR5.",no,no,
371,Conditional bias robust estimation of the total of curve data by sampling in a finite population: An,include,none,media,"Estimacion robusta de totales de curvas de carga electrica con metodos funcionales robustos, wavelets, PCA esferica. PR5.",si,no,
373,Sieve bootstrapping the memory parameter in long-range dependent stationary functional time series,include,none,alta,"Bootstrap sieve para parametro de memoria en series temporales funcionales de rango largo; FPCA, DFT, VAR, FARFIMA. PR4.",no,no,
376,Fast covariance estimation for sparse functional data,include,none,alta,Estimacion rapida de covarianza para FD dispersos con splines penalizados bivariados y CV leave-one-subject-out. PR2/PR3.,no,no,
380,Multi-class classification of biomechanical data: A functional LDA approach based on multi-class pen,include,none,alta,"LDA funcional con PLS funcional penalizada multi-clase; roughness penalty, B-splines cubicos, compara penalizado vs no penalizado. PR2.",no,no,
384,A partial least squares approach for function-on-function interaction regression,include,none,alta,"PLS para regresion de interaccion function-on-function; expansion en bases, equivalencia con PLS de coeficientes de base, seleccion de modelo. PR1/PR2.",no,no,
385,Sparse wavelet estimation in quantile regression with multiple functional predictors,include,none,alta,"Estimacion wavelet dispersa en regresion cuantilica funcional; discute las tres opciones de base funcional (B-spline, wavelet, FPC). PR1/PR4.",no,no,
391,Efficient Multidimensional Functional Data Analysis Using Marginal Product Basis Systems,include,none,alta,"FDA multidimensional eficiente con sistemas de bases producto marginal separables, adaptadas optimamente a los datos, regularizacion por rugosidad. PR1.",no,no,
401,Sasaki metric for spline models of manifold-valued trajectories,include,none,media,"Splines de Bezier compuestas para trayectorias en variedades (Sasaki metric); representacion en bases y comparacion de enfoques spline, dominio geometrico.",si,no,
403,Bayesian functional graphical models with change-point detection,include,none,alta,"Modelo grafico funcional bayesiano con deteccion de puntos de cambio; expansion en bases finita, prior de sparsity estructurado. PR1/PR4.",no,no,
412,ORDINAL PROBIT FUNCTIONAL OUTCOME REGRESSION WITH APPLICATION TO COMPUTER-USE BEHAVIOR IN RHESUS MON,include,none,alta,"Regresion de resultado funcional ordinal (OPFOR); compara explicitamente B-splines penalizados, wavelets y O'Sullivan splines. PR2/PR4.",no,no,
416,On function-on-function regression: partial least squares approach,include,none,alta,"Regresion function-on-function via PLS; base B-spline para convertir datos discretos, GCV para rugosidad, compara con metodos existentes. PR1/PR3.",no,no,
419,Clustering multiply imputed multivariate high-dimensional longitudinal profiles,include,none,media,Clustering de datos funcionales multivariados con datos faltantes via imputacion multiple + consenso; FPCA como paso integral. Limite E1.,si,no,
421,Multivariate Varying Coefficient Spatiotemporal Model,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
423,Generalized Spatio-Temporal Regression with PDE Penalization,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
426,Function-on-function regression models with nonlinear dynamic effect and linear concurrent effect,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
429,Smooth LASSO estimator for the Function-on-Function linear regression model,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
430,Efficient Functional ANOVA Through Wavelet-Domain Markov Groves,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
431,Statistical inference for partially shape-constrained function-on-scalar linear regression models,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
432,Fast symmetric additive covariance smoothing,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
435,A simple method to construct confidence bands in functional linear regression,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
438,ROBUST SMOOTHED CANONICAL CORRELATION ANALYSIS FOR FUNCTIONAL DATA,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
440,"Modelling multi-scale, state-switching functional data with hidden Markov models",include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
443,Clustering nonstationary circadian rhythms using locally stationary wavelet representations,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
458,Graph-constrained analysis for multivariate functional data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
461,Compositional splines for representation of density functions,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
467,Simultaneous confidence corridors for mean functions in functional data analysis of imaging data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
473,Principal Component Analysis for Distributions Observed by Samples in Bayes Spaces,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
475,A Functional Regression Approach to Facial Landmark Tracking,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
481,Penalized spline estimation of principal components for sparse functional data: Rates of convergence,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
483,Multivariate functional clustering and its application to typhoon data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
486,Nonlinear Functional Modeling Using Neural Networks,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
487,Statistical inference in functional semiparametric spatial autoregressive model,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
498,Robust optimal estimation of location from discretely sampled functional data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
500,A comparison of tests for the one-way ANOVA problem for functional data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
502,Global sensitivity analysis for models with spatially dependent outputs,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
510,Robust Classification of Functional and Quantitative Image Data Using Functional Mixed Models,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
518,Penalized solutions to functional regression problems,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
519,Functional dynamic factor models with application to yield curve forecasting,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
544,A Bayesian Multivariate Functional Dynamic Linear Model,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
551,A hierarchical model for aggregated functional data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
555,Discriminative interpolation for classification of functional data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
559,Quantile regression when the covariates are functions,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
566,A time-frequency functional model for locally stationary time series data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
570,Grouped variable importance with random forests and application to multiple functional data analysis,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
571,Non-linear local registration of functional data,exclude,I1,alta,"Registro espacial de activaciones fMRI/anatomía cortical vía splines de placa delgada; ""funcional"" = fMRI, no representación FDA en bases",no,si,verde
588,Clustering functional data using wavelets,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
596,Fourier analysis of stationary time series in function space,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
598,Analysis of aggregated functional data from mixed populations with application to energy consumption,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
606,Functional linear models for zero-inflated count data with application to modeling hospitalizations ,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
610,Study of Mexican free-tailed bat chirp syllables: Bayesian functional mixed models for nonstationary,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
621,Optimal partitioning for linear mixed effects models: Applications to identifying placebo responders,exclude,E1,alta,"Partición óptima de modelos mixtos para identificar respondedores a placebo; no discute elección/calidad de base, cuerpo omitido",si,si,verde
622,A flexible approach to Bayesian multiple curve fitting,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
628,Spline confidence bands for functional derivatives,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
629,Likelihood ratio tests for dependent data with applications to longitudinal and functional data anal,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
654,Fast covariance estimation for high-dimensional functional data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
655,Penalized function-on-function regression,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
657,Aggregated functional data model for near-infrared spectroscopy calibration and prediction,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
688,Warped functional regression,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
689,A geometric approach to maximum likelihood estimation of the functional principal components from sp,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
690,A note on functional linear regression,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
691,Independent component models for replicated point processes,exclude,I1,alta,"Modelo de componentes independientes para procesos puntuales; suavizado spline es incidental, tema central es teoría de point processes",si,si,verde
696,Simultaneous inference for the mean function based on dense functional data,include,none,alta,"Metodología FDA central confirmada en texto completo (introducción/conclusión), consistente con veredicto de Etapa 1",no,no,
703,Spatio-temporal functional data analysis for wireless sensor networks data,include,none,media,FPCA con suavizado espaciotemporal; solo boilerplate PMC visible,si,no,
717,Restricted likelihood ratio tests for linearity in scalar-on-function regression,include,none,alta,Metodologia central FDA (FGAM); prueba de linealidad en regresion funcional,no,no,
725,Sparse functional principal component analysis via regularized basis expansions,include,none,alta,FPCA con bases gaussianas regularizadas y penalizacion explicita,no,no,
742,Robust adaptive functional regression in functional mixed model framework,include,none,alta,Modelo mixto funcional wavelet (WFMM) bayesiano robusto,no,no,
744,Optimally weighted L2 distance for functional data,include,none,media,Distancia basada en representacion spline; solo boilerplate PMC visible,si,no,
746,Identifying Differentially Expressed Genes for Time-course Microarray Data through FDA,include,E4-exception,alta,Discusion sustantiva de bases ortogonales estimadas de los datos pese a dominio genomico,no,no,
755,A Bayesian regression model for multivariate functional data,include,none,media,Regresion bayesiana funcional multivariada; solo boilerplate PMC visible,si,no,
758,Functional principal component analysis via regularized Gaussian basis expansions and unbalanced data,include,none,alta,FPCA con bases gaussianas regularizadas explicitas,no,no,
774,Regularized 3D functional regression for brain image data via Haar wavelets,include,E4-exception,alta,Regresion 3D regularizada con wavelets de Haar; discusion metodologica sustantiva de base,no,no,
778,Preprocessing of centred logratio transformed density functions using smoothing splines,include,none,alta,Splines de suavizado para preprocesamiento de funciones de densidad,no,no,
780,A marginal approach to reduced-rank penalized spline smoothing with application to multilevel functional data,include,none,media,Suavizado spline penalizado de rango reducido; solo boilerplate PMC visible,si,no,
782,Recent history functional linear models for sparse longitudinal data,include,none,media,Modelo lineal funcional de ventana deslizante; solo boilerplate PMC visible,si,no,
793,Dynamic retrospective regression for functional data,include,none,alta,Registro de curvas y splines de Hermite en regresion funcional dinamica,no,no,
813,3D face recognition by functional data analysis,include,E4-exception,alta,Expansion explicita en bases funcionales para representar superficies 3D,no,no,
825,Semiparametric mixed models for nested repeated measures applied to ambulatory blood pressure,include,none,baja,Posible modelo semiparametrico con splines; metodologia no visible en el extracto,si,no,
